"country" "continent" "name.as.map" "tot.pop" "how.many.cities" "coefvar.popul" "Zipf" "Benford.dist" "Benford.pop.vec" "Benford.pop.dist" "Benford.socgeo.dist" "RofClarkEvans" "ClarkEvans.pvalue" "MAD.dist" "MAD.pop.vec" "MAD.pop.dist" "MAD.socgeo.dist" "Benford.dist.nr" "Benford.pop.vec.nr" "Benford.pop.dist.nr" "Benford.socgeo.dist.nr" "ClarkEvans.lab"
"1" "Spain" "Europe" "Spain" 34275359 864 3.404 -1.056 "Nonconformity" "Nonconformity" "Close conformity" "Close conformity" 0.788 0 0.0064 0.0053 9e-04 9e-04 "4.Nonconformity" "4.Nonconformity" "1.Close conformity" "1.Close conformity" "clustering"
"2" "Portugal" "Europe" "Portugal" 6722908 438 2.036 -1.228 "Nonconformity" "Nonconformity" "Close conformity" "Close conformity" 0.795 0 0.0041 0.0062 8e-04 8e-04 "4.Nonconformity" "4.Nonconformity" "1.Close conformity" "1.Close conformity" "clustering"
"3" "Norway" "Europe" "Norway" 3403067 714 7.033 -0.789 "Nonconformity" "Nonconformity" "Close conformity" "Close conformity" 0.749 0 0.0028 0.0034 0.001 0.001 "4.Nonconformity" "4.Nonconformity" "1.Close conformity" "1.Close conformity" "clustering"
"4" "Netherlands" "Europe" "Netherlands" 13505251 318 1.595 -1.224 "Nonconformity" "Nonconformity" "Close conformity" "Close conformity" 1.082 0.006 0.0043 0.0057 0.0012 0.0012 "4.Nonconformity" "4.Nonconformity" "1.Close conformity" "1.Close conformity" "ordering"
"5" "Denmark" "Europe" "Denmark" 3954225 310 5.047 -1.008 "Nonconformity" "Nonconformity" "Close conformity" "Close conformity" 1.126 0 0.0055 0.007 0.0011 0.0011 "4.Nonconformity" "4.Nonconformity" "1.Close conformity" "1.Close conformity" "ordering"
"6" "Germany" "Europe" "Germany" 52973876 998 2.74 -1.31 "Nonconformity" "Nonconformity" "Close conformity" "Close conformity" 1.075 0 0.0052 0.0076 8e-04 8e-04 "4.Nonconformity" "4.Nonconformity" "1.Close conformity" "1.Close conformity" "ordering"
"7" "Switzerland" "Europe" "Switzerland" 5965966 826 2.321 -1.23 "Nonconformity" "Nonconformity" "Close conformity" "Close conformity" 0.805 0 0.0036 0.0049 6e-04 6e-04 "4.Nonconformity" "4.Nonconformity" "1.Close conformity" "1.Close conformity" "clustering"
"8" "Estonia" "Europe" "Estonia" 1208966 955 10.672 -0.938 "Nonconformity" "Nonconformity" "Acceptable conformity" "Acceptable conformity" 0.989 0.527 0.005 0.0055 0.0015 0.0012 "4.Nonconformity" "4.Nonconformity" "2.Acceptable conformity" "2.Acceptable conformity" "random"
"9" "Belgium" "Europe" "Belgium" 10321993 552 2.739 -1.046 "Nonconformity" "Nonconformity" "Close conformity" "Close conformity" 1.249 0 0.0045 0.0036 0.001 0.001 "4.Nonconformity" "4.Nonconformity" "1.Close conformity" "1.Close conformity" "ordering"
"10" "Finland" "Europe" "Finland" 5173664 430 2.911 -0.799 "Nonconformity" "Nonconformity" "Close conformity" "Close conformity" 1.114 0 0.0041 0.0039 9e-04 9e-04 "4.Nonconformity" "4.Nonconformity" "1.Close conformity" "1.Close conformity" "ordering"
