"1D.pop.Benf" "1D.pop.MAD" "2D.geo.Benf" "2D.geo.MAD" "3D.socgeo.Benf" "3D.socgeo.MAD" "scenario"
"1" "Acceptable conformity" 0.00137 "Close conformity" 0.001 "Nonconformity" 0.00287 1
"2" "Acceptable conformity" 0.00135 "Close conformity" 0.00091 "Nonconformity" 0.00233 1
"3" "Acceptable conformity" 0.00133 "Close conformity" 0.00101 "Nonconformity" 0.00284 1
"4" "Close conformity" 0.0012 "Close conformity" 0.00103 "Nonconformity" 0.00266 1
"5" "Close conformity" 0.00114 "Close conformity" 0.00098 "Nonconformity" 0.0024 1
"6" "Acceptable conformity" 0.00121 "Close conformity" 0.00099 "Nonconformity" 0.00249 1
"7" "Acceptable conformity" 0.00138 "Acceptable conformity" 0.00129 "Nonconformity" 0.00248 1
"8" "Acceptable conformity" 0.00163 "Close conformity" 0.00089 "Nonconformity" 0.00249 1
"9" "Acceptable conformity" 0.00143 "Acceptable conformity" 0.00122 "Nonconformity" 0.00262 1
"10" "Acceptable conformity" 0.00128 "Close conformity" 0.00102 "Marginally acceptable conformity" 0.00206 1
"11" "Acceptable conformity" 0.0014 "Close conformity" 0.001 "Nonconformity" 0.00243 1
"12" "Acceptable conformity" 0.00128 "Close conformity" 0.00107 "Nonconformity" 0.00265 1
"13" "Acceptable conformity" 0.0016 "Close conformity" 0.00102 "Nonconformity" 0.00252 1
"14" "Acceptable conformity" 0.00147 "Close conformity" 0.00115 "Nonconformity" 0.0025 1
"15" "Acceptable conformity" 0.0013 "Close conformity" 0.00108 "Nonconformity" 0.00289 1
"16" "Acceptable conformity" 0.00166 "Close conformity" 0.00106 "Nonconformity" 0.00259 1
"17" "Close conformity" 0.00118 "Close conformity" 0.00114 "Nonconformity" 0.00264 1
"18" "Acceptable conformity" 0.00151 "Close conformity" 0.00099 "Nonconformity" 0.00224 1
"19" "Acceptable conformity" 0.00153 "Close conformity" 0.00107 "Nonconformity" 0.00232 1
"20" "Acceptable conformity" 0.00175 "Close conformity" 0.00103 "Nonconformity" 0.00257 1
"21" "Acceptable conformity" 0.00156 "Close conformity" 0.00108 "Nonconformity" 0.00249 1
"22" "Acceptable conformity" 0.00132 "Close conformity" 0.00119 "Nonconformity" 0.00255 1
"23" "Acceptable conformity" 0.00141 "Close conformity" 0.00101 "Nonconformity" 0.00247 1
"24" "Close conformity" 0.00113 "Close conformity" 0.00112 "Nonconformity" 0.00246 1
"25" "Close conformity" 0.00088 "Close conformity" 0.00094 "Nonconformity" 0.00269 1
"26" "Acceptable conformity" 0.00134 "Close conformity" 0.00098 "Nonconformity" 0.00295 1
"27" "Acceptable conformity" 0.00121 "Close conformity" 0.00108 "Nonconformity" 0.00292 1
"28" "Acceptable conformity" 0.00132 "Close conformity" 0.00101 "Nonconformity" 0.00278 1
"29" "Close conformity" 0.00115 "Close conformity" 0.00107 "Nonconformity" 0.00251 1
"30" "Close conformity" 0.00115 "Close conformity" 0.00108 "Nonconformity" 0.00291 1
"31" "Acceptable conformity" 0.00153 "Marginally acceptable conformity" 0.00205 "Nonconformity" 0.00353 2
"32" "Acceptable conformity" 0.00152 "Marginally acceptable conformity" 0.00191 "Nonconformity" 0.00339 2
"33" "Close conformity" 0.00112 "Marginally acceptable conformity" 0.0019 "Nonconformity" 0.00371 2
"34" "Acceptable conformity" 0.00138 "Marginally acceptable conformity" 0.0021 "Nonconformity" 0.00384 2
"35" "Close conformity" 0.00103 "Marginally acceptable conformity" 0.002 "Nonconformity" 0.00373 2
"36" "Acceptable conformity" 0.00128 "Marginally acceptable conformity" 0.00197 "Nonconformity" 0.00354 2
"37" "Acceptable conformity" 0.00121 "Marginally acceptable conformity" 0.00198 "Nonconformity" 0.00373 2
"38" "Acceptable conformity" 0.0013 "Marginally acceptable conformity" 0.00204 "Nonconformity" 0.00358 2
"39" "Close conformity" 0.00105 "Marginally acceptable conformity" 0.00199 "Nonconformity" 0.00382 2
"40" "Acceptable conformity" 0.00123 "Acceptable conformity" 0.00179 "Nonconformity" 0.00369 2
"41" "Acceptable conformity" 0.00125 "Marginally acceptable conformity" 0.00188 "Nonconformity" 0.00354 2
"42" "Acceptable conformity" 0.00164 "Marginally acceptable conformity" 0.002 "Nonconformity" 0.00373 2
"43" "Close conformity" 0.00114 "Marginally acceptable conformity" 0.00194 "Nonconformity" 0.00374 2
"44" "Close conformity" 0.00103 "Marginally acceptable conformity" 0.00197 "Nonconformity" 0.00369 2
"45" "Close conformity" 0.00101 "Marginally acceptable conformity" 0.00198 "Nonconformity" 0.00405 2
